Mid_Current_nA,InputResistance_GOhm
-0.095,0.108
-0.08499999999999999,0.116
-0.07500000000000001,0.124
-0.065,0.133
-0.055,0.142
-0.045,0.153
-0.035,0.164
-0.025,0.174
-0.015,0.183
-0.005,0.191
0.005,0.196
0.015,0.199
0.025,0.2
0.035,0.2
0.045,0.199
0.055,0.197
0.065,0.191
0.07500000000000001,0.178
0.08499999999999999,0.158
0.095,0.136
0.10500000000000001,0.116
0.11499999999999999,0.099
0.125,0.085
0.135,0.117
0.14500000000000002,0.116
0.155,-0.03
0.165,0.055
0.175,0.051
0.185,0.047
0.195,0.044
0.20500000000000002,0.042
0.215,0.039
0.225,0.037
0.235,0.036
0.245,0.034
0.255,0.033
0.265,0.032
0.275,0.03
0.28500000000000003,0.029
0.295,0.029
0.305,0.027
0.315,0.027
0.325,0.026
0.335,0.026
0.345,0.025
0.355,0.024
0.365,0.024
0.375,0.023
0.385,0.023
0.395,0.022
0.405,0.022
0.415,0.022
0.425,0.021
0.435,0.021
0.445,0.021
0.455,0.02
0.46499999999999997,0.02
0.475,0.02
0.485,0.019
