Time (ms),Signal (mV)
0.0,-76.17929829604553
0.02,-76.17929829604553
0.04,-76.33572395989778
0.06000000000000001,-76.39829422543869
0.08,-76.36700909266824
0.1,-76.30443882712733
0.12000000000000002,-76.1480131632751
0.14,-76.33572395989778
0.16,-76.36700909266824
0.18000000000000002,-76.36700909266824
0.2,-76.36700909266824
0.22,-76.27315369435689
0.24000000000000005,-76.36700909266824
0.26,-76.33572395989778
0.28,-76.17929829604553
0.30000000000000004,-76.24186856158643
0.32,-76.30443882712733
0.34,-76.24186856158643
0.36000000000000004,-76.27315369435689
0.38,-76.39829422543869
0.4,-76.33572395989778
0.42000000000000004,-76.33572395989778
0.44,-76.24186856158643
0.46,-76.27315369435689
0.4800000000000001,-76.24186856158643
0.5,-76.17929829604553
0.52,-76.21058342881598
0.54,-76.39829422543869
0.56,-76.33572395989778
0.58,-76.08544289773418
0.6000000000000001,-76.08544289773418
0.62,-76.33572395989778
0.64,-76.46086449097957
0.6600000000000001,-76.33572395989778
0.68,-76.30443882712733
0.7000000000000001,-76.30443882712733
0.7200000000000001,-76.36700909266824
0.7400000000000001,-76.52343475652049
0.76,-76.42957935820912
0.7800000000000001,-76.24186856158643
0.8,-76.1480131632751
0.8200000000000001,-76.27315369435689
0.8400000000000001,-76.42957935820912
0.8600000000000001,-76.46086449097957
0.88,-76.36700909266824
0.9000000000000001,-76.17929829604553
0.92,-76.24186856158643
0.9400000000000001,-76.24186856158643
0.9600000000000002,-76.46086449097957
0.9800000000000002,-76.39829422543869
1.0,-76.24186856158643
1.02,-76.27315369435689
1.04,-76.36700909266824
1.0600000000000003,-76.36700909266824
1.08,-76.36700909266824
1.1,-76.49214962375004
1.12,-76.61729015483184
1.1400000000000001,-76.49214962375004
1.16,-76.30443882712733
1.1800000000000002,-76.33572395989778
1.2000000000000002,-76.27315369435689
1.2200000000000002,-76.39829422543869
1.24,-76.42957935820912
1.26,-76.33572395989778
1.28,-76.17929829604553
1.3000000000000003,-76.21058342881598
1.3200000000000003,-76.49214962375004
1.34,-76.46086449097957
1.36,-76.39829422543869
1.3800000000000001,-76.24186856158643
1.4000000000000001,-76.30443882712733
1.42,-76.39829422543869
1.4400000000000002,-76.33572395989778
1.4600000000000002,-76.24186856158643
1.4800000000000002,-76.42957935820912
1.5,-76.42957935820912
1.52,-76.30443882712733
1.54,-76.36700909266824
1.5600000000000003,-76.36700909266824
1.58,-76.36700909266824
1.6,-76.39829422543869
1.62,-76.42957935820912
1.6400000000000001,-76.39829422543869
1.6600000000000001,-76.36700909266824
1.6800000000000002,-76.36700909266824
1.7000000000000002,-76.17929829604553
1.7200000000000002,-76.33572395989778
1.7400000000000002,-76.46086449097957
1.76,-76.42957935820912
1.78,-76.24186856158643
1.8000000000000003,-76.33572395989778
1.8200000000000003,-76.27315369435689
1.84,-76.36700909266824
1.86,-76.39829422543869
1.8800000000000001,-76.33572395989778
1.9000000000000001,-76.30443882712733
1.9200000000000004,-76.39829422543869
1.9400000000000002,-76.42957935820912
1.9600000000000004,-76.52343475652049
1.98,-76.49214962375004
2.0,-76.52343475652049
2.02,-76.36700909266824
2.04,-76.27315369435689
2.06,-76.27315369435689
2.08,-76.36700909266824
2.1,-76.33572395989778
2.1200000000000006,-76.42957935820912
2.14,-76.61729015483184
2.16,-76.52343475652049
2.18,-76.30443882712733
2.2,-76.08544289773418
2.22,-76.36700909266824
2.24,-76.58600502206139
2.2600000000000002,-76.46086449097957
2.2800000000000002,-76.36700909266824
2.3000000000000003,-76.27315369435689
2.32,-76.39829422543869
2.34,-76.42957935820912
2.3600000000000003,-76.39829422543869
2.3800000000000003,-76.39829422543869
2.4000000000000004,-76.39829422543869
2.4200000000000004,-76.42957935820912
2.4400000000000004,-76.49214962375004
2.4600000000000004,-76.24186856158643
2.48,-76.36700909266824
2.5,-76.49214962375004
2.52,-76.55471988929092
2.54,-76.33572395989778
2.56,-76.17929829604553
2.58,-76.24186856158643
2.6000000000000005,-76.42957935820912
2.6200000000000006,-76.55471988929092
2.6400000000000006,-76.36700909266824
2.66,-76.27315369435689
2.68,-76.46086449097957
2.7,-76.42957935820912
2.72,-76.49214962375004
2.74,-76.30443882712733
2.7600000000000002,-76.39829422543869
2.7800000000000002,-76.36700909266824
2.8000000000000003,-76.42957935820912
2.82,-76.33572395989778
2.84,-76.27315369435689
2.8600000000000003,-76.36700909266824
2.8800000000000003,-76.42957935820912
2.9000000000000004,-76.42957935820912
2.9200000000000004,-76.39829422543869
2.9400000000000004,-76.42957935820912
2.9600000000000004,-76.30443882712733
2.9800000000000004,-76.55471988929092
3.0,-76.55471988929092
3.02,-76.49214962375004
3.04,-76.27315369435689
3.06,-76.27315369435689
3.08,-76.33572395989778
3.1000000000000005,-76.42957935820912
3.1200000000000006,-76.55471988929092
3.1400000000000006,-76.52343475652049
3.16,-76.39829422543869
3.18,-76.36700909266824
3.2,-76.27315369435689
3.22,-76.36700909266824
3.24,-76.39829422543869
3.2600000000000002,-76.49214962375004
3.2800000000000002,-76.33572395989778
3.3000000000000003,-76.24186856158643
3.3200000000000003,-76.30443882712733
3.3400000000000003,-76.42957935820912
3.3600000000000003,-76.39829422543869
3.3800000000000003,-76.27315369435689
3.4000000000000004,-76.21058342881598
3.4200000000000004,-76.36700909266824
3.4400000000000004,-76.52343475652049
3.4600000000000004,-76.36700909266824
3.4800000000000004,-76.24186856158643
3.5,-76.30443882712733
3.52,-76.33572395989778
3.54,-76.27315369435689
3.56,-76.30443882712733
3.58,-76.39829422543869
3.6000000000000005,-76.36700909266824
3.6200000000000006,-76.42957935820912
3.6400000000000006,-76.21058342881598
3.6600000000000006,-76.24186856158643
3.68,-76.39829422543869
3.7,-76.33572395989778
3.72,-76.39829422543869
3.74,-76.46086449097957
3.7600000000000002,-76.39829422543869
3.7800000000000002,-76.39829422543869
3.8000000000000003,-76.27315369435689
3.8200000000000003,-76.27315369435689
3.8400000000000007,-76.33572395989778
3.8600000000000003,-76.52343475652049
3.8800000000000003,-76.42957935820912
3.9000000000000004,-76.36700909266824
3.920000000000001,-76.39829422543869
3.94,-76.42957935820912
3.96,-76.42957935820912
3.98,-76.27315369435689
4.0,-76.21058342881598
4.0200000000000005,-76.27315369435689
4.04,-76.39829422543869
4.0600000000000005,-76.42957935820912
4.08,-76.49214962375004
4.1000000000000005,-76.39829422543869
4.12,-76.36700909266824
4.140000000000001,-76.21058342881598
4.16,-76.27315369435689
4.180000000000001,-76.24186856158643
4.2,-76.30443882712733
4.220000000000001,-76.27315369435689
4.240000000000001,-76.33572395989778
4.260000000000001,-76.39829422543869
4.28,-76.39829422543869
